,TOWN,POP2010,2018,death_per_10k
313,blandford,1233,0,0.0
314,holliston,13547,1,0.7381708127260648
315,greenfield,17456,11,6.301558203483043
316,grafton,17765,2,1.125809175344779
317,blackstone,9026,0,0.0
318,medford,56173,6,1.06812881633525
319,lowell,106519,72,6.759357485519016
320,beverly,39502,12,3.0378208698293756
321,gloucester,28789,16,5.557678279898573
322,chester,1337,0,0.0
323,winchester,21374,12,5.614297744923739
324,millville,3190,0,0.0
325,bridgewater,26563,1,0.37646350186349437
326,tolland,485,1,20.618556701030926
327,canton,21561,1,0.4638003803163119
328,mashpee,14006,0,0.0
329,lynnfield,11596,2,1.7247326664367024
330,barnstable,45193,34,7.523289004934392
331,dover,5589,0,0.0
332,mendon,5839,1,1.7126220243192327
333,hudson,19063,3,1.5737292136599694
334,westwood,14618,0,0.0
335,holland,2481,0,0.0
336,cambridge,105162,19,1.80673627355889
337,walpole,24070,3,1.2463647694225177
338,berlin,2866,0,0.0
339,sharon,17612,1,0.5677946854417443
340,lynn,90329,48,5.313908047249499
341,norwood,28602,12,4.195510803440319
342,everett,41667,28,6.719946240430077
343,wales,1838,1,5.4406964091403704
344,hopedale,5911,1,1.691761123329386
345,topsfield,6085,0,0.0
346,somerville,75754,8,1.05604984555271
347,pembroke,17837,0,0.0
348,duxbury,15059,0,0.0
349,boxford,7965,0,0.0
350,boston,617594,245,3.967007451497262
