TOWN,town_actual_2010_pop,block_est_2010_pop,count_error,percent_error
marlborough,38499,38499.0,0.0,0.0
belchertown,14649,14649.0,0.0,0.0
freetown,8870,8030.0,-840.0,9.470124013528748
florida,752,752.0,0.0,0.0
worthington,1156,0.0,-1156.0,100.0
norwell,10506,9541.0,-965.0,9.185227489053874
brewster,9820,9820.0,0.0,0.0
edgartown,4067,4067.0,0.0,0.0
clinton,13606,13606.0,0.0,0.0
stow,6590,6590.0,0.0,0.0
attleboro,43593,43593.0,0.0,0.0
harwich,12243,12243.0,0.0,0.0
stoughton,26962,26962.0,0.0,0.0
somerset,18165,18165.0,0.0,0.0
newbury,6666,6666.0,0.0,0.0
hanover,13879,13879.0,0.0,0.0
uxbridge,13457,13457.0,0.0,0.0
hadley,5250,5250.0,0.0,0.0
north adams,13708,13708.0,0.0,0.0
mansfield,23184,23184.0,0.0,0.0
bernardston,2129,1018.0,-1111.0,52.184124001878814
dracut,29457,29457.0,0.0,0.0
shutesbury,1771,1771.0,0.0,0.0
franklin,31635,31635.0,0.0,0.0
westminster,7277,7277.0,0.0,0.0
leominster,40759,40759.0,0.0,0.0
revere,51755,51755.0,0.0,0.0
wrentham,10955,10955.0,0.0,0.0
avon,4356,4356.0,0.0,0.0
halifax,7518,7518.0,0.0,0.0
newton,85146,85146.0,0.0,0.0
ipswich,13175,10919.0,-2256.0,17.123339658444024
cohasset,7542,6229.0,-1313.0,17.409175285070273
auburn,16188,16188.0,0.0,0.0
chicopee,55298,55298.0,0.0,0.0
hamilton,7764,7764.0,0.0,0.0
plymouth,56468,54143.0,-2325.0,4.117376213076433
barre,5398,5398.0,0.0,0.0
bolton,4897,4897.0,0.0,0.0
orange,7839,7839.0,0.0,0.0
dartmouth,34032,34032.0,0.0,0.0
cummington,872,872.0,0.0,0.0
granby,6240,6240.0,0.0,0.0
lee,5943,5943.0,0.0,0.0
sterling,7808,7808.0,0.0,0.0
wilbraham,14219,14219.0,0.0,0.0
georgetown,8183,8183.0,0.0,0.0
carver,11509,11509.0,0.0,0.0
eastham,4956,4956.0,0.0,0.0
melrose,26983,26983.0,0.0,0.0
manchester,5136,5136.0,0.0,0.0
pepperell,11497,11497.0,0.0,0.0
woburn,38120,38120.0,0.0,0.0
sutton,8963,9661.0,698.0,7.78757112573915
framingham,68318,68318.0,0.0,0.0
warren,5135,5135.0,0.0,0.0
charlemont,1266,0.0,-1266.0,100.0
west springfield,28391,29208.0,817.0,2.8776725018491778
new braintree,999,999.0,0.0,0.0
dedham,24729,24729.0,0.0,0.0
princeton,3413,3413.0,0.0,0.0
lunenburg,10086,10086.0,0.0,0.0
groveland,6459,6459.0,0.0,0.0
millbury,13261,13261.0,0.0,0.0
pelham,1321,1321.0,0.0,0.0
wakefield,24932,24932.0,0.0,0.0
rockland,17489,17489.0,0.0,0.0
seekonk,13722,13722.0,0.0,0.0
templeton,8013,8013.0,0.0,0.0
palmer,12140,12140.0,0.0,0.0
foxborough,16865,16865.0,0.0,0.0
lincoln,6362,6362.0,0.0,0.0
east bridgewater,13794,14450.0,656.0,4.755690880092794
lakeville,10602,11442.0,840.0,7.923033389926429
royalston,1258,1258.0,0.0,0.0
watertown,31915,31915.0,0.0,0.0
easton,23112,23112.0,0.0,0.0
natick,33006,33006.0,0.0,0.0
brockton,93810,93154.0,-656.0,0.6992857904274598
wendell,848,848.0,0.0,0.0
westford,21951,21951.0,0.0,0.0
