city_death,2014,2015,2016,2017,2018,tot_pop_14,tot_pop_15,tot_pop_16,tot_pop_17,tot_pop_18
BROOKLINE,0,3,2,4,3,59025.71428571428,59099.142857142855,59172.57142857143,59246,59319.42857142857
BUCKLAND,0,0,0,0,0,1916.2857142857142,1919.857142857143,1923.4285714285713,1927,1930.5714285714287
BURLINGTON,9,9,13,16,20,25415.14285714286,25644.428571428572,25873.714285714286,26103,26332.285714285714
CAMBRIDGE,18,24,41,21,19,108436.85714285714,109255.57142857143,110074.28571428571,110893,111711.71428571429
CANTON,2,3,4,4,1,22285.571428571428,22466.714285714286,22647.85714285714,22829,23010.14285714286
CARLISLE,0,0,0,0,0,5028,5072,5116,5160,5204
CARVER,3,5,1,3,1,11570.714285714286,11586.142857142857,11601.57142857143,11617,11632.42857142857
CHARLTON,0,0,1,3,0,13208.42857142857,13265.285714285714,13322.142857142857,13379,13435.857142857143
CHATHAM,1,1,0,0,0,5218.285714285715,5200.857142857143,5183.428571428572,5166,5148.571428571428
CHELMSFORD,1,3,3,5,3,34524.857142857145,34705.57142857143,34886.28571428572,35067,35247.71428571428
CHELSEA,8,11,10,9,13,37517,38102,38687,39272,39857
CHESHIRE,0,0,0,0,3,3197.285714285714,3187.8571428571427,3178.4285714285716,3169,3159.5714285714284
CHESTER,0,0,0,0,0,1446.7142857142858,1474.142857142857,1501.5714285714287,1529,1556.4285714285713
CHESTERFIELD,0,0,0,0,0,1268.2857142857142,1279.857142857143,1291.4285714285713,1303,1314.5714285714287
CHICOPEE,5,8,16,10,17,55572.28571428572,55640.857142857145,55709.42857142857,55778,55846.57142857143
CHILMARK,1,0,0,0,0,450.7142857142857,449.14285714285717,447.57142857142856,446,444.42857142857144
CLARKSBURG,0,0,0,1,0,1713.4285714285713,1716.2857142857142,1719.142857142857,1722,1724.857142857143
CLINTON,5,8,6,2,6,13748.285714285714,13783.857142857143,13819.42857142857,13855,13890.57142857143
