city_death,year,death_rate_per10k,tot_pop_17,over_65_count,over_65_prop,med_house_inc,mean_house_inc,mean_med_inc_desp,drop_out,less_than_hs_ed,at_or_below_pov_prop,pop_struggling_prop,town_status,urb_v_rur,total_claims_count_avg,opioid_claim_count_avg,opioid_rate_avg,total_claim_count_sum,opioid_claim_count_sum,claim_per_65_and_over,opi_claim_per_65_and_over
marblehead,2016,1.4710930221154317,20393,5386,0.2641102339037905,118758.9,165125.03276142658,46366.132761426634,0.0,2.3562164731445643,0.04586703491812981,0.0566679818504636,grown,rural,819.3076923076923,19.26923076923077,5.089219539441509,21302,501.0,3.955068696620869,0.09301893798737468
marblehead,2017,0.4883630071998661,20393,5386,0.2641102339037905,118758.9,165125.03276142658,46366.132761426634,0.0,2.3562164731445643,0.04586703491812981,0.0566679818504636,grown,rural,879.08,30.4,4.593267530402403,21977,760.0,4.080393613070925,0.14110657259561826
marion,2013,2.0010863039935964,5065,1602,0.3162882527147088,75592.0,131487.21349053868,55895.213490538714,19.24882629107981,5.217391304347826,0.0555893690403733,0.12517752079529315,grown,rural,193.33333333333334,3.3333333333333335,19.764957264957268,580,10.0,0.3620474406991261,0.006242197253433208
marion,2014,0.0,5065,1602,0.3162882527147088,75592.0,131487.21349053868,55895.213490538714,19.24882629107981,5.217391304347826,0.0555893690403733,0.12517752079529315,grown,rural,165.25,1.25,3.3783783783783785,661,5.0,0.4126092384519351,0.003121098626716604
marion,2015,1.9831713743377624,5065,1602,0.3162882527147088,75592.0,131487.21349053868,55895.213490538714,19.24882629107981,5.217391304347826,0.0555893690403733,0.12517752079529315,grown,rural,143.4,2.0,5.718687692586551,717,10.0,0.44756554307116103,0.006242197253433208
marion,2016,1.974333662388944,5065,1602,0.3162882527147088,75592.0,131487.21349053868,55895.213490538714,19.24882629107981,5.217391304347826,0.0555893690403733,0.12517752079529315,grown,rural,105.0,0.8333333333333334,2.873563218390805,630,5.0,0.39325842696629215,0.003121098626716604
marion,2017,1.9655743689102292,5065,1602,0.3162882527147088,75592.0,131487.21349053868,55895.213490538714,19.24882629107981,5.217391304347826,0.0555893690403733,0.12517752079529315,grown,rural,96.33333333333333,1.6666666666666667,2.343022763814843,578,10.0,0.36079900124843944,0.006242197253433208
marlborough,2013,2.294404929692877,39771,6257,0.1573256895728043,78251.6,96155.64135300074,18449.5276460029,1.0416666666666667,8.41288782816229,0.06495522084266232,0.13461734174638715,grown,rural,1327.9907407407406,56.2037037037037,13.335982875419845,143423,6070.0,22.922007351766023,0.9701134729103404
marlborough,2014,1.7763083961385233,39771,6257,0.1573256895728043,78251.6,96155.64135300074,18449.5276460029,1.0416666666666667,8.41288782816229,0.06495522084266232,0.13461734174638715,grown,rural,1337.697247706422,54.18348623853211,12.841603371229523,145809,5906.0,23.30334025891002,0.9439028288317085
marlborough,2015,1.5155615696887683,39771,6257,0.1573256895728043,78251.6,96155.64135300074,18449.5276460029,1.0416666666666667,8.41288782816229,0.06495522084266232,0.13461734174638715,grown,rural,1266.2018348623853,53.10091743119266,12.667637878674253,138016,5788.0,22.057855202173567,0.9250439507751319
