town,generic_name,year,total_claim_count,total_30_day_fill_count,total_day_supply,total_drug_cost
brockton,lorazepam,2016,9228,10330.8,286343,63351.240000000005
brockton,lorazepam,2017,8462,9507.9,263816,118570.32
brookline,alprazolam,2013,1766,2022.0,56956,14139.259999999998
brookline,alprazolam,2014,1843,2105.9,59208,15375.249999999996
brookline,alprazolam,2015,2112,2379.0,67082,16319.879999999996
brookline,alprazolam,2016,2105,2397.9,66951,13661.559999999994
brookline,alprazolam,2017,2499,2781.2,78886,31467.950000000008
brookline,diazepam,2013,1228,1430.6000000000001,37730,10458.860000000002
brookline,diazepam,2014,1224,1435.5,39068,6329.740000000001
brookline,diazepam,2015,1098,1249.3999999999999,34369,5356.079999999999
brookline,diazepam,2016,1098,1297.6,35419,6005.950000000002
brookline,diazepam,2017,962,1141.0,30241,8057.070000000001
brookline,lorazepam,2013,7177,8130.6,222033,60066.92
brookline,lorazepam,2014,6557,7448.0,203793,44663.61000000002
