uniq_name,absenteeism,air_pollution_-_particulate_matter,binge_drinking,breast_cancer_deaths,cardiovascular_disease_deaths,children_in_poverty,colorectal_cancer_deaths,dental_care,diabetes,frequent_mental_distress,frequent_physical_distress,high_blood_pressure,high_school_graduation,"housing_cost,_excessive",housing_with_potential_lead_risk,income_inequality,lead_exposure_risk_index,life_expectancy,limited_access_to_healthy_foods,low_birthweight,neighborhood_racial/ethnic_segregation,obesity,opioid_overdose_deaths,park_access,physical_inactivity,premature_deaths_(all_causes),prenatal_care,preventive_services,racial/ethnic_diversity,smoking,teen_births,third-grade_reading_proficiency,unemployment,uninsured,violent_crime,walkability
NJ_Union City,16.1,10.0,15.2,20.8,162.3,34.2,15.2,56.4,11.5,13.8,15.9,30.5,85.4,57.1,34.3,-18.3,9.0,80.4,0.0,,3.8,34.1,8.3,91.6,42.6,4800.0,,20.4,43.6,18.4,,29.6,7.1,30.3,237.8,94.2
NM_Albuquerque,21.7,6.4,15.4,24.8,207.1,25.5,17.1,65.9,9.3,12.6,12.9,26.5,,34.3,12.2,-13.3,5.0,78.5,63.1,9.3,12.9,27.7,22.2,86.4,18.7,9100.0,75.6,35.6,66.2,15.9,27.0,23.5,6.5,12.1,1380.2,42.7
NM_Las Cruces,27.7,6.9,17.0,28.6,208.7,32.4,14.3,65.3,10.9,12.5,13.4,28.1,,35.0,9.6,-24.0,6.0,79.0,82.7,,6.2,28.8,17.1,70.0,19.9,9400.0,,29.6,56.0,15.4,,29.8,8.3,12.0,,33.7
NM_Rio Rancho,19.8,6.2,16.8,23.7,188.0,16.3,15.1,67.0,8.8,11.8,12.1,25.7,,31.0,2.9,-3.1,2.0,80.2,85.9,,3.4,25.4,13.7,58.5,16.1,6000.0,,30.0,66.3,16.0,,32.9,7.2,8.5,179.6,42.7
NM_Santa Fe,29.5,5.8,14.7,27.3,160.8,22.8,13.5,68.7,10.0,11.0,12.4,27.0,,33.6,13.4,-5.3,5.0,80.2,73.2,,15.5,18.8,29.7,64.0,16.3,8100.0,,29.1,56.8,13.4,,32.1,5.6,18.7,348.5,40.0
NV_Henderson,17.8,6.8,17.2,25.4,174.5,12.2,14.8,67.3,10.0,12.6,12.1,26.2,91.0,32.0,2.9,4.9,1.0,78.8,67.7,8.0,6.3,23.8,13.2,51.7,20.8,5800.0,84.4,33.9,68.5,16.8,12.9,67.8,7.2,10.5,199.4,48.8
NV_Las Vegas,21.3,5.5,16.1,41.4,389.5,23.7,34.3,58.1,11.7,14.7,14.4,27.4,89.9,37.4,5.5,-8.7,3.0,77.4,57.2,9.0,12.6,27.3,28.2,73.9,26.3,15100.0,74.2,30.3,80.5,19.5,61.9,40.9,8.8,18.1,1642.1,48.8
NV_North Las Vegas,24.7,5.8,16.5,19.3,200.4,22.0,23.8,54.2,11.3,15.8,14.4,25.7,81.7,37.0,3.8,-8.4,3.0,76.6,63.5,9.5,10.1,29.0,7.7,62.8,27.8,6300.0,74.6,27.3,85.0,21.1,28.0,53.6,8.9,17.7,1068.0,35.7
NV_Reno,23.1,7.4,19.4,30.5,284.3,19.8,21.6,62.4,9.0,14.8,13.6,27.0,87.3,35.7,10.3,-9.3,4.0,77.9,73.1,7.9,12.5,25.7,20.0,74.7,22.1,9200.0,67.8,30.6,63.5,18.3,28.9,44.2,6.7,14.3,706.0,37.6
NV_Sparks,22.1,7.5,19.5,30.2,249.2,14.9,19.7,63.1,9.2,14.6,13.9,27.7,87.7,34.2,7.2,-5.1,2.0,77.5,63.7,,7.7,26.0,16.2,72.5,22.5,8200.0,,29.9,65.9,18.6,,45.9,7.2,13.7,500.4,40.7
