city_death,2014,2015,2016,2017,2018,tot_pop_13,tot_pop_14,tot_pop_15,tot_pop_16,tot_pop_17,over_65_count,over_65_prop,med_house_inc,mean_house_inc,less_than_hs_ed,at_or_below_pov_prop,pop_struggling_prop,urb_v_rur,town_status
danvers,3,7,3,3,4,26936.14285714286,27083.85714285714,27231.571428571428,27379.285714285714,27527,6258,0.22734042939659244,79914.5,99928.11176055811,5.837853978997661,0.06287158145065398,0.10474881093935791,rural,grown
dartmouth,3,3,7,3,4,34164.42857142857,34208.57142857143,34252.71428571428,34296.857142857145,34341,7495,0.21825223493782941,80627.11111111111,104840.41480678407,15.518234590331014,0.08235664555854878,0.10163383829549033,rural,grown
dedham,2,2,4,0,6,25006.714285714286,25099.285714285714,25191.85714285714,25284.428571428572,25377,5921,0.23332151160499665,98110.0,118015.1259464848,6.417805629085409,0.05013961892247043,0.09555683311432325,rural,grown
deerfield,0,0,0,0,0,5092.428571428572,5081.571428571428,5070.714285714285,5059.857142857143,5049,1066,0.21113091701326994,77957.25,91878.37927498162,3.422854133754608,0.08292781832927819,0.09549878345498783,rural,shrunk
dennis,4,3,4,2,2,13789.142857142857,13792.857142857143,13796.57142857143,13800.285714285714,13804,6539,0.4737032744132136,57724.9375,80706.95671227128,3.643051055258779,0.10918277680140598,0.14411247803163443,rural,uncertain
dighton,0,0,2,1,1,7236.857142857143,7287.142857142857,7337.428571428572,7387.714285714285,7438,1335,0.17948373218607153,93969.4,100704.46307995747,5.746043707611153,0.03879544221378188,0.09224091155724362,rural,grown
douglas,0,2,2,1,1,8578.57142857143,8614.42857142857,8650.285714285714,8686.142857142857,8722,1012,0.1160284338454483,96363.25,106461.69671202298,3.092962641181581,0.041489483967360075,0.06240661992874382,rural,grown
dover,0,0,0,0,0,5731.714285714285,5779.285714285715,5826.857142857143,5874.428571428572,5922,1156,0.19520432286389733,203026.75,316351.85877350374,1.6830657690315898,0.007598784194528876,0.010638297872340425,rural,grown
dracut,3,7,4,3,7,30166.714285714286,30403.285714285714,30639.85714285714,30876.428571428572,31113,5550,0.17838202680551538,92849.8125,97360.42608425539,8.669877732493516,0.07154592017524079,0.11609702670489322,rural,grown
dudley,1,1,1,1,3,11495.857142857143,11531.142857142857,11566.42857142857,11601.714285714286,11637,1538,0.13216464724585375,72832.85714285714,90800.5837828491,8.296055307035381,0.07750472589792061,0.16162570888468808,rural,grown
dunstable,0,0,0,0,0,3246.714285714286,3269.285714285714,3291.8571428571427,3314.4285714285716,3337,569,0.17051243632004795,139333.5,166618.936385033,3.6986919260261613,0.020976925382079712,0.032364399160922985,rural,grown
duxbury,0,0,2,0,0,14312.42857142857,14393.57142857143,14474.714285714286,14555.857142857143,14637,3099,0.21172371387579422,126754.55555555556,164756.5710882459,1.0546795003071883,0.042472637158394715,0.06098988091140635,rural,grown
