,city_death,year,death_count_next_year,over_65_count,over_65_prop,med_house_inc,mean_house_inc,less_than_hs_ed,at_or_below_pov_prop,pop_struggling_prop,urb_v_rur,town_status
64,ashby,2017,0,496,0.15524256651017215,93522.0,103872.60450834,8.383233532934131,0.07855559075071271,0.06208425720620842,rural,grown
65,ashfield,2013,0,340,0.2127659574468085,72415.0,93013.58510023926,2.4271844660194173,0.0769712140175219,0.10763454317897372,rural,shrunk
66,ashfield,2014,0,340,0.2127659574468085,72415.0,93013.58510023926,2.4271844660194173,0.0769712140175219,0.10763454317897372,rural,shrunk
67,ashfield,2015,0,340,0.2127659574468085,72415.0,93013.58510023926,2.4271844660194173,0.0769712140175219,0.10763454317897372,rural,shrunk
68,ashfield,2016,0,340,0.2127659574468085,72415.0,93013.58510023926,2.4271844660194173,0.0769712140175219,0.10763454317897372,rural,shrunk
69,ashfield,2017,1,340,0.2127659574468085,72415.0,93013.58510023926,2.4271844660194173,0.0769712140175219,0.10763454317897372,rural,shrunk
70,ashland,2013,0,2943,0.16838311019567456,105871.77777777777,126114.49357549784,3.7690263348634936,0.03184347925870675,0.0730965631992656,rural,grown
71,ashland,2014,1,2943,0.16838311019567456,105871.77777777777,126114.49357549784,3.7690263348634936,0.03184347925870675,0.0730965631992656,rural,grown
72,ashland,2015,2,2943,0.16838311019567456,105871.77777777777,126114.49357549784,3.7690263348634936,0.03184347925870675,0.0730965631992656,rural,grown
73,ashland,2016,2,2943,0.16838311019567456,105871.77777777777,126114.49357549784,3.7690263348634936,0.03184347925870675,0.0730965631992656,rural,grown
74,ashland,2017,0,2943,0.16838311019567456,105871.77777777777,126114.49357549784,3.7690263348634936,0.03184347925870675,0.0730965631992656,rural,grown
75,athol,2013,2,2196,0.18801369863013695,54531.714285714275,61648.846841567785,12.699350265800355,0.1470894874022589,0.16550825369244135,rural,grown
76,athol,2014,2,2196,0.18801369863013695,54531.714285714275,61648.846841567785,12.699350265800355,0.1470894874022589,0.16550825369244135,rural,grown
77,athol,2015,4,2196,0.18801369863013695,54531.714285714275,61648.846841567785,12.699350265800355,0.1470894874022589,0.16550825369244135,rural,grown
78,athol,2016,5,2196,0.18801369863013695,54531.714285714275,61648.846841567785,12.699350265800355,0.1470894874022589,0.16550825369244135,rural,grown
79,athol,2017,10,2196,0.18801369863013695,54531.714285714275,61648.846841567785,12.699350265800355,0.1470894874022589,0.16550825369244135,rural,grown
80,attleboro,2013,15,6953,0.15686053332130126,75340.53571428571,86561.72830727945,10.879245896310742,0.09160636427968133,0.1302075010843016,rural,grown
81,attleboro,2014,17,6953,0.15686053332130126,75340.53571428571,86561.72830727945,10.879245896310742,0.09160636427968133,0.1302075010843016,rural,grown
82,attleboro,2015,23,6953,0.15686053332130126,75340.53571428571,86561.72830727945,10.879245896310742,0.09160636427968133,0.1302075010843016,rural,grown
83,attleboro,2016,40,6953,0.15686053332130126,75340.53571428571,86561.72830727945,10.879245896310742,0.09160636427968133,0.1302075010843016,rural,grown
84,attleboro,2017,16,6953,0.15686053332130126,75340.53571428571,86561.72830727945,10.879245896310742,0.09160636427968133,0.1302075010843016,rural,grown
85,auburn,2013,1,3659,0.2210608989850169,78411.05882352941,93681.00878706727,6.791185385434588,0.04602942964854676,0.09175483400218898,rural,grown
86,auburn,2014,0,3659,0.2210608989850169,78411.05882352941,93681.00878706727,6.791185385434588,0.04602942964854676,0.09175483400218898,rural,grown
87,auburn,2015,0,3659,0.2210608989850169,78411.05882352941,93681.00878706727,6.791185385434588,0.04602942964854676,0.09175483400218898,rural,grown
88,auburn,2016,1,3659,0.2210608989850169,78411.05882352941,93681.00878706727,6.791185385434588,0.04602942964854676,0.09175483400218898,rural,grown
89,auburn,2017,1,3659,0.2210608989850169,78411.05882352941,93681.00878706727,6.791185385434588,0.04602942964854676,0.09175483400218898,rural,grown
90,avon,2013,2,819,0.1833034914950761,73736.25,89870.68927908503,13.286093888396811,0.08482542524619517,0.08034914950760967,rural,grown
91,avon,2014,0,819,0.1833034914950761,73736.25,89870.68927908503,13.286093888396811,0.08482542524619517,0.08034914950760967,rural,grown
92,avon,2015,1,819,0.1833034914950761,73736.25,89870.68927908503,13.286093888396811,0.08482542524619517,0.08034914950760967,rural,grown
93,avon,2016,1,819,0.1833034914950761,73736.25,89870.68927908503,13.286093888396811,0.08482542524619517,0.08034914950760967,rural,grown
94,avon,2017,2,819,0.1833034914950761,73736.25,89870.68927908503,13.286093888396811,0.08482542524619517,0.08034914950760967,rural,grown
95,ayer,2013,2,1102,0.1375093586224108,76260.0,88050.46078038828,4.497398892431616,0.13423322084739409,0.0804899387576553,rural,grown
96,ayer,2014,1,1102,0.1375093586224108,76260.0,88050.46078038828,4.497398892431616,0.13423322084739409,0.0804899387576553,rural,grown
97,ayer,2015,10,1102,0.1375093586224108,76260.0,88050.46078038828,4.497398892431616,0.13423322084739409,0.0804899387576553,rural,grown
98,ayer,2016,3,1102,0.1375093586224108,76260.0,88050.46078038828,4.497398892431616,0.13423322084739409,0.0804899387576553,rural,grown
